Date,Time,Male,Device,Activity
7/30/2014,3:52 AM,female,tablet,1
7/25/2014,6:44 AM,male,mobile,0
7/17/2014,6:49 PM,male,desktop,1
7/28/2014,3:14 PM,male,desktop,0
7/24/2014,2:02 AM,male,desktop,0
7/21/2014,4:33 PM,male,tablet,1
7/30/2014,1:07 AM,female,tablet,0
7/21/2014,6:55 AM,male,tablet,0
7/20/2014,12:59 AM,male,tablet,1
7/23/2014,9:07 PM,female,desktop,0
7/28/2014,9:58 AM,male,mobile,0
7/21/2014,5:43 AM,female,mobile,0
7/26/2014,12:50 AM,male,mobile,1
7/29/2014,4:24 AM,female,tablet,0
7/28/2014,8:18 PM,male,mobile,1
7/22/2014,3:02 AM,male,tablet,1
7/23/2014,10:40 PM,male,desktop,1
7/24/2014,12:34 AM,male,desktop,1
7/19/2014,4:51 AM,male,desktop,1
7/26/2014,9:54 AM,female,tablet,0
7/24/2014,4:20 PM,female,mobile,1
7/22/2014,3:57 PM,male,tablet,1
7/24/2014,1:51 PM,female,tablet,0
7/21/2014,2:51 PM,male,desktop,0
7/21/2014,12:12 AM,male,tablet,1
7/28/2014,4:36 AM,female,tablet,0
7/26/2014,10:21 PM,female,desktop,1
7/21/2014,12:44 AM,female,desktop,1
7/30/2014,10:28 PM,female,mobile,0
7/19/2014,8:56 AM,female,mobile,0
7/19/2014,12:05 AM,female,mobile,0
7/27/2014,4:14 AM,female,desktop,0
7/30/2014,7:33 PM,female,mobile,0
7/18/2014,6:52 AM,female,desktop,0
7/30/2014,1:43 AM,female,desktop,0
7/26/2014,9:07 PM,female,desktop,1
7/30/2014,6:12 PM,female,mobile,1
7/28/2014,4:23 PM,male,desktop,0
7/18/2014,5:33 AM,female,mobile,0
7/20/2014,9:27 AM,female,mobile,1
7/21/2014,7:50 PM,female,mobile,1
7/30/2014,12:33 PM,female,tablet,1
7/20/2014,9:37 AM,female,tablet,0
7/30/2014,6:54 PM,female,desktop,0
7/27/2014,11:16 AM,male,tablet,0
7/22/2014,11:06 PM,female,tablet,0
7/21/2014,6:06 AM,male,tablet,0
7/27/2014,7:50 PM,male,tablet,1
7/20/2014,11:05 PM,female,desktop,0
7/24/2014,11:47 AM,female,desktop,1
7/26/2014,8:39 PM,female,desktop,1
7/22/2014,11:53 AM,male,mobile,1
7/19/2014,12:48 AM,male,mobile,1
7/25/2014,3:00 AM,female,desktop,0
7/25/2014,11:36 PM,male,tablet,0
7/24/2014,5:46 AM,male,mobile,0
7/23/2014,12:14 AM,male,tablet,0
7/30/2014,7:01 PM,male,desktop,1
7/31/2014,5:02 AM,male,desktop,1
7/30/2014,7:09 PM,male,desktop,1
7/25/2014,11:48 AM,male,desktop,1
7/17/2014,4:28 AM,female,mobile,0
7/30/2014,11:55 AM,male,mobile,1
7/24/2014,4:33 PM,male,desktop,0
7/19/2014,2:01 AM,female,mobile,1
7/28/2014,6:31 PM,female,tablet,1
7/27/2014,4:28 AM,female,tablet,1
7/28/2014,8:28 PM,male,mobile,0
7/21/2014,10:41 PM,female,mobile,0
7/23/2014,12:38 AM,male,tablet,0
7/23/2014,9:46 AM,male,tablet,0
7/31/2014,5:50 PM,male,mobile,1
7/17/2014,5:55 AM,female,mobile,1
7/30/2014,12:17 PM,female,tablet,1
7/31/2014,4:55 AM,male,tablet,1
7/23/2014,7:00 PM,male,tablet,1
7/28/2014,8:26 AM,female,desktop,1
7/24/2014,7:22 AM,male,mobile,1
7/19/2014,8:52 PM,female,tablet,0
7/26/2014,10:36 AM,male,tablet,1
7/26/2014,9:27 AM,female,tablet,1
7/18/2014,1:33 AM,male,tablet,0
7/22/2014,12:39 PM,female,tablet,1
7/30/2014,7:27 AM,female,tablet,1
7/28/2014,6:56 PM,female,mobile,1
7/18/2014,6:37 AM,male,desktop,0
7/25/2014,10:09 AM,female,mobile,0
7/21/2014,6:11 PM,male,tablet,0
7/24/2014,6:03 PM,male,desktop,1
